field_of_view,0,1,2,3
HC a_19,0.0,0.0005241090146750524,0.30241090146750527,0.6970649895178197
HC a_2,0.0,0.0,0.24687656171914044,0.7531234382808596
HC a_20,0.0,0.0,0.28346456692913385,0.7165354330708661
HC a_3,0.0,0.0,0.1769983686786297,0.8230016313213703
HC a_4,0.0,0.0,0.0736196319018405,0.9263803680981595
HC a_5,0.0,0.0,0.14156431803490627,0.8584356819650937
HC a_6,0.0,0.0,0.08111050626020685,0.9188894937397931
HC a_7,0.0,0.0,0.07445099089448312,0.9255490091055169
HC a_8,0.0,0.0,0.13893653516295026,0.8610634648370498
HC a_9,0.0,0.0,0.05416666666666667,0.9458333333333333
HC b_1,0.0,0.0,0.19672493914582873,0.8032750608541713
HC b_10,0.0,0.0,0.3005517689061993,0.6994482310938007
HC b_11,0.0,0.0,0.43050847457627117,0.5694915254237288
HC b_12,0.0,0.0,0.13014008133755084,0.8698599186624492
HC b_13,0.0,0.0,0.3263086335825969,0.6736913664174031
HC b_14,0.0,0.0,0.2918274289722904,0.7081725710277096
HC b_15,0.0,0.0,0.18471703533467396,0.815282964665326
HC b_16,0.0,0.0,0.1645,0.8355
HC b_17,0.0,0.0,0.012195121951219513,0.9878048780487805
HC b_18,0.0,0.0,0.0014727540500736377,0.9985272459499264
HC b_19,0.0,0.0,0.0,1.0
HC b_2,0.0,0.0,0.24966478948779833,0.7503352105122016
HC b_20,0.0,0.0,0.0,1.0
HC b_3,0.0,0.0,0.28498803827751196,0.715011961722488
HC b_4,0.0,0.0,0.23876543209876544,0.7612345679012346
HC b_5,0.0,0.0,0.37804459691252146,0.6219554030874785
HC b_6,0.0,0.0,0.3857192859642982,0.6142807140357018
HC b_7,0.0,0.0,0.2034383954154728,0.7965616045845272
HC b_8,0.0,0.0,0.22702834799608992,0.77297165200391
HC b_9,0.0,0.0,0.3192572626534891,0.6807427373465109
HC c_1,0.0,0.0027726432532347504,0.04066543438077634,0.9565619223659889
HC c_10,0.0,0.002911208151382824,0.001455604075691412,0.9956331877729258
HC c_11,0.0,0.0015105740181268882,0.18026183282980865,0.8182275931520645
HC c_12,0.0,0.004889975550122249,0.02689486552567237,0.9682151589242054
HC c_13,0.0,0.00299625468164794,0.07265917602996255,0.9243445692883895
HC c_14,0.0,0.0009511731135066582,0.23081800887761572,0.7682308180088776
HC c_15,0.0,0.0,0.012612612612612612,0.9873873873873874
HC c_16,0.0,0.0,0.05555555555555555,0.9444444444444444
HC c_2,0.0,0.0014099400775467042,0.17130771942192458,0.8272823405005287
HC c_3,0.0,0.002882882882882883,0.17513513513513512,0.821981981981982
HC c_4,0.0,0.0,0.256478999106345,0.743521000893655
HC c_5,0.0,0.00175054704595186,0.18205689277899342,0.8161925601750547
HC c_6,0.0,0.00547112462006079,0.13556231003039515,0.8589665653495441
HC c_7,0.0,0.0,0.219932918064207,0.780067081935793
HC c_8,0.0,0.0012749681257968552,0.1878453038674033,0.8108797280067999
HC c_9,0.0,0.0,0.15813321250566378,0.8418667874943362
UC a_1,0.0029411764705882353,0.00130718954248366,0.05196078431372549,0.9437908496732026
UC a_10,0.001183431952662722,0.0,0.002366863905325444,0.9964497041420118
UC a_12,0.003604325190228274,0.0014016820184221065,0.0012014417300760913,0.9937925510612735
UC a_13,0.00392393600965892,0.004829459704195593,0.0,0.9912466042861455
UC a_14,0.0017574692442882249,0.0,0.0,0.9982425307557118
UC a_15,0.002364066193853428,0.0,0.0,0.9976359338061466
UC a_16,0.0,0.0,0.0,1.0
UC a_17,0.001329198050509526,0.002658396101019052,0.0008861320336730173,0.9951262738147985
