field_of_view,enrichment_1-1,enrichment_1-2,enrichment_1-3,enrichment_1-4,enrichment_2-2,enrichment_2-3,enrichment_2-4,enrichment_3-3,enrichment_3-4,enrichment_4-4,Disease/Health State
HC b_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5681814345283173,-0.7545771812619353,0.4221780658589613,HC b
HC b_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.924454919307433,-1.2425833376837272,0.1507733437234764,HC b
HC b_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8838233675055065,-0.6349438352052255,0.19734579118676,HC b
HC b_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9516773662938935,-0.5911948028838083,0.1615058863676045,HC b
HC b_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6468900638005943,-0.9251400736858242,0.1441222613125644,HC b
HC b_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.324356248299547,-1.0158273952072396,0.061492682859562,HC b
HC b_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.901614301006461,0.5885635827832062,-0.0230277268415792,HC b
HC b_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0190556665378665,-3.3240453300086577,0.0042519075707136,HC b
HC b_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HC b
HC b_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.284835274860951,-0.8920330954663793,0.1988994500169845,HC b
HC b_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HC b
HC b_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1571001746187246,-0.8287100231967351,0.2052698352375485,HC b
HC b_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2111715108912005,-0.8509553643582023,0.2017773761195858,HC b
HC b_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9399775706066416,-0.9094410358457728,0.2976011737916875,HC b
HC b_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6043461389365591,-0.6777086576706617,0.3398207660825573,HC b
HC b_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3002193036957868,-0.5543553045663928,0.0942681744885898,HC b
HC b_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.249176036743385,-1.0214361966702088,0.2378579492254038,HC b
HC b_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9175824399618608,-0.7230063511924875,0.2316632466847059,HC b
HC c_1,0.0,0.0,0.0,0.0,-0.1968030562645199,-1.652425510202437,0.4449209235132105,2.140181979493927,0.0506335158383712,-0.0163613330788586,HC c
HC c_10,0.0,0.0,0.0,0.0,-0.1019983363957216,-0.0519003890283504,0.3839969343906625,-0.026183568951035,-3.757801722941729,0.0015696085601537,HC c
HC c_11,0.0,0.0,0.0,0.0,2.193154956260232,-1.0168979298533238,0.1694676008097874,0.897748622561522,-0.567126230173061,0.1390096141556931,HC c
HC c_12,0.0,0.0,0.0,0.0,-0.127621497628966,-0.5933068470120888,-1.2715178154060256,3.856174847986906,-0.0102875565336709,-0.0103871875705971,HC c
HC c_13,0.0,0.0,0.0,0.0,2.036933564216528,-2.6545127335669725,0.3963897929920781,1.7880340138047566,0.0997827949019074,-0.0414085608301177,HC c
HC c_14,0.0,0.0,0.0,0.0,-0.0951798571946383,-4.133359626088903,-0.1090187476605933,0.8080157460016127,-0.5933505608225292,0.1836739153519295,HC c
HC c_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6965691575762705,0.6022406810304638,-0.0220761058429014,HC c
HC c_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.690036357813501,-2.708939576740565,0.0030837363876564,HC c
HC c_2,0.0,0.0,0.0,0.0,-0.1707878255766189,-4.024077821224532,-0.0538575297471588,1.3455045423889525,-0.6477753626281808,0.1170846242276672,HC c
HC c_3,0.0,0.0,0.0,0.0,0.9530598107917562,-0.933935395070454,-0.0819324635344995,1.1337526338809425,-0.6704757453038739,0.1443783696410516,HC c
HC c_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8630986919233955,-0.7802231261211198,0.2518531188370484,HC c
HC c_5,0.0,0.0,0.0,0.0,-0.2020298361743788,-4.055961838471483,-0.1514669045804478,1.2961458163321875,-0.6231257862919766,0.1182396153929204,HC c
HC c_6,0.0,0.0,0.0,0.0,-0.919919330595852,-1.9449841671675208,0.1637640115882058,1.216568769493538,-0.1969928336999166,0.0105158563367679,HC c
HC c_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9468334602973631,-0.83155909332569,0.2305456013520833,HC c
HC c_8,0.0,0.0,0.0,0.0,-0.1182305568411297,-2.763696427151796,0.3802950884253397,1.1821762185247553,-0.6943842089193267,0.1487086378187948,HC c
HC c_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4004533547304368,-0.8334642405958992,0.146616248204679,HC c
UC a_1,-0.6794752292295544,-0.3418249169666588,-3.539470108072292,0.2946596294372185,-0.1619858049068459,-2.5168566026428647,-0.6321425360890045,2.8711444935328503,-1.1558259708916432,0.0587348191372689,UC a
UC a_10,-0.1068345255611454,0.0,-0.2063002742210979,-0.4532656696758917,0.0,0.0,0.0,-0.3867573420656804,-0.5036479267089179,0.0029885848684626,UC a
UC a_12,3.4282893137920034,-0.7300838861173833,0.354178043434355,-0.0599271614763359,-0.3290373833616767,-0.2863826368286067,-0.6925854051879887,-0.2487900216403568,-0.1936558690049249,0.0021463868195162,UC a
UC a_13,-1.0979109514093133,1.542143116251804,0.0,-0.1039326043814143,1.722325489954578,0.0,-0.2841946861974161,0.0,0.0,0.0030301233348765,UC a
UC a_14,-0.0595179356353613,0.0,0.0,-0.3174622887818081,0.0,0.0,0.0,0.0,0.0,0.0010493386552116,UC a
UC a_15,1.413978058786297,0.0,0.0,0.2197563064355644,0.0,0.0,0.0,0.0,0.0,-0.0012673609393617,UC a
UC a_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UC a
UC a_17,2.2176825070226376,-0.2014635915462342,0.929672831705598,-0.375966921208831,1.943717731566296,-0.1373848531042512,-0.9400666186178722,-0.0472636069568867,0.0223879374358365,0.0042668011386713,UC a
UC a_18,-0.3620386088941688,-0.1558739321730529,-0.0800410900968775,0.149689623216975,-0.0643841903479796,-0.0325512303252506,-0.3709829864707065,-0.0163674190514344,0.4006457597230187,-0.0008469025160527,UC a
UC a_19,0.0,0.0,0.0,0.0,2.2176680572041945,-0.1374036819871727,-0.2725909505413529,-0.1804430373397021,0.1491987667745206,-0.0001224822310949,UC a
