field_of_view,Niche_0,Niche_1,Niche_2,Niche_3
CD c_15,7.396946971622351,20.72326583694641,2.118833935069069,0.12872558032407022
CD c_17,6.379274130477605,20.72326583694641,4.110591117676308,0.018260135442978807
CD c_2,5.129091334929933,20.72326583694641,3.6250140694920185,0.03311288877468808
CD c_3,8.085175502079931,20.72326583694641,3.794719262460395,0.023061164296468695
CD c_4,5.093311729740579,20.72326583694641,4.841997337666017,0.014128269310843699
CD c_5,6.95224947336926,20.72326583694641,2.91800986221187,0.05656782006262227
CD c_6,6.5209885690567475,20.72326583694641,2.1547109619753178,0.12489327270586069
CD c_7,5.908686252428163,20.72326583694641,2.4088177003602995,0.09721301389588394
CD c_8,6.484939877339092,20.72326583694641,3.196538620574288,0.04335623573797203
CD c_9,6.151135206216737,20.72326583694641,3.233364918017475,0.042443801592618326
HC a_1,20.72326583694641,20.72326583694641,2.11609902422515,0.12840260334683304
HC a_10,20.72326583694641,20.72326583694641,3.0011719767407192,0.051007810152998045
HC a_11,20.72326583694641,20.72326583694641,2.2947419056111453,0.1062357881245974
HC a_12,20.72326583694641,20.72326583694641,1.893950403479033,0.1630793093944296
HC a_13,20.72326583694641,20.72326583694641,2.31830249873104,0.1036292871091004
HC a_14,20.72326583694641,20.72326583694641,2.0493599657467154,0.13790359129505864
HC a_15,20.72326583694641,20.72326583694641,2.0557794275374914,0.13695786587650027
HC a_16,20.72326583694641,20.72326583694641,2.2175174723033897,0.1152751333350976
HC a_18,20.72326583694641,20.72326583694641,1.461238264398108,0.26389898657710414
HC a_19,20.72326583694641,7.553808944010152,1.1959685821933732,0.360876629357846
HC a_2,20.72326583694641,20.72326583694641,1.3988668133452038,0.2835261346294344
HC a_20,20.72326583694641,20.72326583694641,1.2606681444747037,0.3333275785461369
HC a_3,20.72326583694641,20.72326583694641,1.7316147573059275,0.1947970949274834
HC a_4,20.72326583694641,20.72326583694641,2.608843537435429,0.07647036291236774
HC a_5,20.72326583694641,20.72326583694641,1.9550011136926388,0.15264351937177742
HC a_6,20.72326583694641,20.72326583694641,2.511942766940808,0.08458940897095302
HC a_7,20.72326583694641,20.72326583694641,2.597614196979377,0.07736819309728192
HC a_8,20.72326583694641,20.72326583694641,1.9737380244805232,0.1495870654974086
HC a_9,20.72326583694641,20.72326583694641,2.9156895474189177,0.05568890480332009
HC b_1,20.72326583694641,20.72326583694641,1.6259487688141356,0.2190580809074796
HC b_10,20.72326583694641,20.72326583694641,1.2021352606232747,0.3574634946291214
HC b_11,20.72326583694641,20.72326583694641,0.842788267558394,0.5630113751806085
HC b_12,20.72326583694641,20.72326583694641,2.039143852231076,0.1394230921795547
HC b_13,20.72326583694641,20.72326583694641,1.1199116136349174,0.3949831847870903
HC b_14,20.72326583694641,20.72326583694641,1.2315926446647807,0.34506746918774933
HC b_15,20.72326583694641,20.72326583694641,1.688930158160134,0.20422002886488302
HC b_16,20.72326583694641,20.72326583694641,1.804844702697683,0.17972492974980056
HC b_17,20.72326583694641,20.72326583694641,4.406719165264257,0.01227009157946882
HC b_18,20.72326583694641,20.72326583694641,6.520620448558953,0.001473838616825655
HC b_19,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
HC b_2,20.72326583694641,20.72326583694641,1.3876360988963834,0.28723522362065673
HC b_20,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09
HC b_3,20.72326583694641,20.72326583694641,1.2553080670414711,0.33545600534768955
HC b_4,20.72326583694641,20.72326583694641,1.4322736604590796,0.272813730900779
HC b_5,20.72326583694641,20.72326583694641,0.9727431064265424,0.47488688642190946
HC b_6,20.72326583694641,20.72326583694641,0.9526454099253542,0.48730326470288665
HC b_7,20.72326583694641,20.72326583694641,1.5923920402456186,0.2274508072563945
HC b_8,20.72326583694641,20.72326583694641,1.4826803838529425,0.2575129024721598
