field_of_view,enrichment_1-1,enrichment_1-2,enrichment_1-3,enrichment_1-4,enrichment_2-1,enrichment_2-2,enrichment_2-3,enrichment_2-4,enrichment_3-1,enrichment_3-2,enrichment_3-3,enrichment_3-4,enrichment_4-1,enrichment_4-2,enrichment_4-3,enrichment_4-4
CD a_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3547555922846044,-0.42431419626147,0.0,0.0,-0.42431419626147,0.29813467398678617
CD a_2,0.0,0.0,0.0,0.0,0.0,0.6163130947787963,-0.02324569416358933,-0.12378155174315553,0.0,-0.02324569416358933,-0.4487716975587248,-0.4422463551626593,0.0,-0.12378155174315553,-0.4422463551626593,0.013914632340352551
CD a_3,0.0,0.0,0.0,0.0,0.0,0.12342523455308171,-0.07356244962660513,0.08411070962212173,0.0,-0.07356244962660513,-0.4221084060634867,-0.6442959615803684,0.0,0.08411070962212173,-0.6442959615803684,0.002724660683077164
CD a_4,0.0,0.0,0.0,0.0,0.0,-0.050092468762299905,0.3488806096199242,-0.28840489780512163,0.0,0.3488806096199242,0.8706366375020589,-0.5845360315630025,0.0,-0.28840489780512163,-0.5845360315630025,0.18129220547919433
CD a_5,0.0,0.0,0.0,0.0,0.0,0.84601162138244,0.8106774621988377,0.10439247359624526,0.0,0.8106774621988377,-0.1340874329460471,0.09771252121348216,0.0,0.10439247359624526,0.09771252121348216,-0.016202673498652655
CD a_6,0.0,0.0,0.0,0.0,0.0,-0.32309299228953176,-3.148250419171385,-0.2100113756422875,0.0,-3.148250419171385,3.154385327235169,0.0887945038829815,0.0,-0.2100113756422875,0.0887945038829815,-0.019743853098215393
CD a_7,0.0,0.0,0.0,0.0,0.0,-0.287926209774507,-1.4172119090824236,-1.350898247505345,0.0,-1.4172119090824236,1.2953448781467227,-0.4749493351899667,0.0,-1.350898247505345,-0.4749493351899667,0.0747392011575675
CD a_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8595878789310669,-0.5194121747793495,0.0,0.0,-0.5194121747793495,0.15270734979916806
CD a_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.942474139588914,-0.4953642020480261,0.0,0.0,-0.4953642020480261,0.03867767907318148
CD b_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD b_11,-0.008977859648667008,0.0,-1.2045524530254161,0.1301368406348762,0.0,0.0,0.0,0.0,-1.2045524530254161,0.0,2.5538425589668368,-0.36807148749875934,0.1301368406348762,0.0,-0.36807148749875934,0.0142842591810942
CD b_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.621177158202817,-0.2587410225735027,0.0,0.0,-0.2587410225735027,0.003388108360517422
CD b_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0647686604794937,-0.5628114070399918,0.0,0.0,-0.5628114070399918,0.01999710056700886
CD b_14,-0.007840075712317216,0.0,-1.2828064824044079,-0.018316181776297936,0.0,0.0,0.0,0.0,-1.2828064824044079,0.0,2.776279908098795,-0.5834989196146032,-0.018316181776297936,0.0,-0.5834989196146032,0.02697405798439305
CD b_15,-0.061767029244236014,0.0,-1.3967544783629955,0.08163012567334674,0.0,0.0,0.0,0.0,-1.3967544783629955,0.0,4.271743530893105,-0.7143852769065877,0.08163012567334674,0.0,-0.7143852769065877,0.01170825812099674
CD b_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD b_17,-0.1202414106671605,-0.03101284712575477,-0.06137303289998717,-0.32447946546071976,-0.03101284712575477,-0.007815935395186756,-0.015589755291139462,-0.8834941259301753,-0.06137303289998717,-0.015589755291139462,-0.03101284712575477,-0.40652710405283116,-0.32447946546071976,-0.8834941259301753,-0.40652710405283116,0.0010536521089585349
CD b_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD b_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
