field_of_view,Niche_0,Niche_1,Niche_2,Niche_3,Disease/Health State
UC a_10,6.739335782357549,20.72326583694641,6.046189024297337,0.0035566121112841,UC
UC a_12,5.625620435499169,6.570081608356093,6.724232169278753,0.0062267942460314,UC
UC a_13,5.540659789992243,5.333020472997656,20.72326583694641,0.0087919307187462,UC
UC a_14,6.343879865126507,20.72326583694641,20.72326583694641,0.001759014403419,UC
UC a_15,6.047371756046379,20.72326583694641,20.72326583694641,0.0023668640078965,UC
UC a_16,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09,UC
UC a_17,6.623178735816396,5.930031931422905,7.028643467758247,0.0048856405142496,UC
UC a_18,5.621124964775248,6.537415282349604,7.230561772410263,0.0058097466354943,UC
UC a_19,20.72326583694641,6.19168010511195,5.903998154826796,0.0047863329190133,UC
UC a_2,5.764493919867432,20.72326583694641,2.837754819500725,0.063679124150996,UC
UC a_20,20.72326583694641,5.956700168338411,7.055311684340528,0.0034572193803946,UC
UC a_21,20.72326583694641,7.362008976261029,20.72326583694641,0.0006351212817497,UC
UC a_22,20.72326583694641,6.737559058486462,20.72326583694641,0.0011862387583192,UC
UC a_5,5.798081713287999,6.896693342623243,4.331744898084259,0.0173385261447833,UC
UC a_6,7.289609056452373,20.72326583694641,1.7155571479099785,0.199117104569535,UC
UC a_7,6.168214581519265,7.266825915521714,2.705957405460439,0.072140276402571,UC
UC a_8,7.134889596566778,20.72326583694641,1.6295593105318955,0.2191674016895306,UC
UC a_9,7.42326821773568,7.017803667793404,7.42326821773568,0.0020923626367709,UC
UC b_1,5.102442678926321,8.3605351063803,4.722953109144491,0.0153214536789942,UC
UC b_10,6.508023032221996,5.409411190553664,5.121729173976861,0.0120031438492804,UC
UC b_11,5.786897055366789,5.227281407145588,4.870606519092563,0.0162353768545939,UC
UC b_12,20.72326583694641,6.709303520258677,4.763394074060142,0.0098039990867686,UC
UC b_14,5.383839322129086,20.72326583694641,4.714789799419964,0.0136445768688824,UC
UC b_15,8.192290118154292,20.72326583694641,4.581375720854779,0.0105732750089027,UC
UC b_16,4.6915429522853,8.541685539029778,5.015329987694603,0.0161325542524963,UC
UC b_17,5.8090426520137495,20.72326583694641,4.615120415841265,0.012985233535252,UC
UC b_18,4.659474964435396,6.707167095131639,4.915408307778245,0.0181907271853654,UC
UC b_2,5.220563518639544,20.72326583694641,5.07746269967065,0.0117082657081861,UC
UC b_20,5.241557843764677,20.72326583694641,4.325267225269064,0.0186956980409411,UC
UC b_21,4.695093875015679,20.72326583694641,5.078086076214222,0.0154912026382834,UC
UC b_22,4.930745692902343,20.72326583694641,4.930745692902343,0.0145475341944002,UC
UC b_23,4.527208552018385,8.264874377809518,5.431664690216164,0.0155645155254253,UC
UC b_24,4.209274461588391,7.690512430734287,5.205607786152135,0.0210193662028336,UC
UC b_3,5.645642904705159,6.744254627262535,5.070278883638369,0.0110520159651138,UC
UC b_4,6.354120987867327,7.201418081779035,4.932735743034498,0.009739119545473,UC
UC b_5,5.3675322212362,5.772997222177727,5.262171727011709,0.0130447965412881,UC
UC b_6,5.377380357233984,7.082127475427737,5.695834007182093,0.0088589474583087,UC
UC b_7,6.61807045536002,8.004362570984188,5.113993640750104,0.0077116885092244,UC
UC b_8,5.178688701642533,7.48127219758828,5.08337853797002,0.0124753521652526,UC
UC b_9,4.575741278197291,5.086566837229953,5.779713855956605,0.0197614324800016,UC
UC c_1,20.72326583694641,7.715567291522913,1.754564189116007,0.1904687871845913,UC
UC c_10,20.72326583694641,7.391721826079642,1.255076888117657,0.3364106038385797,UC
UC c_11,20.72326583694641,8.100461595034883,1.14011715880092,0.3857874157576633,UC
UC c_12,20.72326583694641,7.277246279632567,0.7949051913529762,0.6020552190541808,UC
UC c_13,20.72326583694641,20.72326583694641,2.4833330733594385,0.0871545500701885,UC
UC c_14,20.72326583694641,8.100158151942239,0.9094854101213558,0.5158966268724088,UC
UC c_15,20.72326583694641,7.322178614962997,1.0324645547447986,0.4412823020948195,UC
UC c_16,20.72326583694641,6.698575456768629,0.993960804356292,0.464165540709242,UC
UC c_17,20.72326583694641,8.015324282026379,1.241103419204676,0.3416391783467361,UC
UC c_18,20.72326583694641,8.112224623355347,1.334581360916202,0.3059386677247919,UC
UC c_19,20.72326583694641,20.72326583694641,2.615915787373826,0.0759104693097599,UC
UC c_2,20.72326583694641,7.824043510859417,1.776673825899849,0.1858477653662739,UC
UC c_20,20.72326583694641,7.717793963016211,2.617929769482067,0.0762317686733971,UC
UC c_21,20.72326583694641,6.584790668386022,2.365283676562552,0.1001561556451207,UC
UC c_3,20.72326583694641,7.842668927982881,1.7468469068107462,0.1920269223308574,UC
UC c_4,20.72326583694641,20.72326583694641,5.634789323169309,0.0035778203442997,UC
UC c_5,20.72326583694641,4.865609392296011,20.72326583694641,0.0077369814943856,UC
UC c_6,20.72326583694641,7.785718490537724,1.2190484633474168,0.3508730199023176,UC
UC c_7,20.72326583694641,6.917374512693017,1.245198383644634,0.3409059519046825,UC
UC c_8,20.72326583694641,6.6143896776451765,1.5130007614898036,0.2505006209722434,UC
UC c_9,20.72326583694641,7.898036998768322,0.9763815039586576,0.4732779273361621,UC
